model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
14,2015,9995,1,30753.0,0,0,78.5,1.5
9,2018,13495,1,1030.0,4,145,47.9,1.0
1,2017,12995,1,7817.0,4,145,55.4,1.0
6,2018,12995,1,9781.0,4,145,60.1,1.0
2,2018,12998,1,17241.0,4,145,54.3,1.0
20,2015,10298,1,28309.0,0,125,58.9,1.6
5,2017,10498,1,50599.0,4,0,65.7,1.0
6,2018,11298,2,37880.0,0,150,74.3,1.5
13,2016,10698,1,56888.0,0,125,60.1,2.0
6,2018,15995,1,10500.0,4,145,60.1,1.0
0,2014,6995,2,50800.0,4,160,44.1,1.6
5,2019,13950,1,6700.0,4,145,58.9,1.0
5,2017,10650,1,31800.0,4,150,65.7,1.0
5,2016,7995,1,20700.0,4,125,54.3,1.2
6,2016,11495,1,29900.0,0,0,74.3,1.5
13,2018,16995,1,32858.0,0,145,54.3,2.0
5,2018,11995,1,31593.0,4,145,65.7,1.0
6,2015,10995,1,13791.0,4,125,51.4,1.5
13,2019,20495,1,12034.0,0,145,47.9,2.0
6,2018,19995,1,10923.0,0,145,67.3,2.0
13,2019,19995,1,10171.0,0,145,38.2,2.0
2,2019,18995,1,2291.0,4,145,52.3,1.0
6,2017,11995,1,23469.0,4,125,51.4,1.5
13,2017,16998,1,13626.0,0,125,60.1,2.0
5,2016,7398,1,35180.0,4,125,54.3,1.2
5,2019,11498,1,17708.0,4,145,58.9,1.0
5,2019,13998,1,9957.0,4,145,58.9,1.0
6,2019,16698,1,4542.0,4,145,60.1,1.0
14,2016,9998,1,38358.0,0,0,78.5,1.5
6,2015,12998,1,25878.0,0,20,67.3,2.0
2,2016,9998,2,18325.0,4,160,44.8,1.5
6,2017,12498,1,9338.0,4,145,60.1,1.0
2,2018,14998,1,7133.0,0,145,58.9,1.5
6,2017,10498,1,42002.0,4,20,60.1,1.0
13,2017,16995,0,3700.0,4,145,38.2,1.5
6,2019,15495,1,5600.0,4,145,60.1,1.0
5,2015,9495,1,17288.0,4,0,65.7,1.0
0,2013,5995,1,42996.0,0,20,70.6,1.6
6,2014,7498,1,47566.0,4,30,56.5,1.0
5,2017,11798,1,4262.0,4,0,65.7,1.0
5,2017,10998,1,10125.0,4,145,65.7,1.0
6,2017,14998,0,17028.0,4,150,46.3,1.5
5,2017,8998,1,12753.0,4,145,54.3,1.2
6,2016,13998,1,24895.0,0,20,67.3,2.0
6,2017,17998,1,9066.0,4,145,41.5,2.0
5,2019,18998,1,3292.0,4,145,40.3,1.5
13,2013,9198,2,48130.0,0,200,45.6,2.0
13,2015,14498,1,27513.0,0,145,54.3,2.0
6,2017,14998,1,32511.0,4,150,41.5,2.0
5,2016,8498,1,21888.0,4,125,54.3,1.2
5,2019,13995,1,11130.0,4,145,58.9,1.0
6,2017,18498,1,14441.0,4,145,41.5,2.0
6,2018,13998,1,13401.0,4,145,60.1,1.0
5,2019,12798,1,10567.0,4,145,58.9,1.0
5,2019,14698,1,7872.0,4,145,58.9,1.0
12,2017,7698,1,10641.0,4,30,57.7,1.2
2,2018,12498,1,10222.0,4,145,54.3,1.0
5,2017,9998,1,28519.0,4,20,62.8,1.0
13,2017,13998,1,51772.0,0,125,60.1,2.0
5,2016,9500,0,7350.0,4,0,57.7,1.0
12,2018,8195,1,12231.0,4,145,47.9,1.2
13,2019,21498,0,5354.0,4,150,31.0,1.5
6,2017,17998,1,19525.0,4,145,41.5,2.0
2,2018,14498,1,11922.0,4,145,54.3,1.0
1,2016,9998,1,16984.0,0,20,68.9,1.5
5,2016,7998,1,16070.0,4,125,54.3,1.2
6,2018,10998,1,26648.0,4,145,61.4,1.0
5,2017,10998,1,19140.0,4,145,62.8,1.0
6,2016,9998,1,26399.0,0,0,74.3,1.5
